Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0349,-0.0613,-0.0086,0.009,0.0153,5802,8017
17,-0.0591,-0.0918,-0.0263,0.0,0.0126,3755,10588
24,-0.0852,-0.1233,-0.0472,0.0,0.0195,2893,11672
