Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0247,-0.0575,0.0081,0.14,0.0282,3923,10569
17,0.0116,-0.0301,0.0533,0.585,0.0309,2473,12363
24,-0.0204,-0.0637,0.0229,0.355,0.0285,2364,12397
