Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,,,,,,,
17,0.0022,-0.0328,0.0371,0.904,0.1258,3010.0,11765.0
24,0.0209,-0.0138,0.0555,0.238,0.0261,1915.0,13173.0
