Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0017,-0.0354,0.032,0.921,0.003,3924,10568
17,0.0152,-0.0261,0.0565,0.472,0.0037,2473,12363
24,-0.0002,-0.0443,0.0438,0.992,0.0294,2365,12396
