Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0304,-0.0578,-0.003,0.03,0.0024,5786,8047
17,-0.0723,-0.1067,-0.0379,0.0,0.027,3522,10974
24,-0.0454,-0.0846,-0.0061,0.024,0.0186,2906,11652
