Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,0.0124,-0.0192,0.0439,0.442,-0.001,3905,10600
17,-0.0358,-0.0791,0.0076,0.106,0.0074,2434,12417
24,-0.0707,-0.1148,-0.0267,0.002,0.0149,2366,12395
