Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0145,-0.0479,0.0189,0.395,0.0145,3924,10568
17,0.0176,-0.0232,0.0583,0.398,0.0872,2473,12363
24,0.0548,0.013,0.0966,0.01,0.1406,2366,12395
