Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0181,-0.0443,0.0081,0.175,0.0172,5854.0,7959.0
17,,,,,,,
24,-0.0887,-0.1256,-0.0519,0.0,0.114,2888.0,11681.0
