Age,Coefficient,CI_Lower,CI_Upper,P_value,R2,N,Missing
9,-0.0227,-0.0574,0.012,0.2,0.0075,3779,10156
17,0.0401,-0.0041,0.0843,0.076,0.0405,2389,12475
24,-0.0009,-0.0395,0.0376,0.962,0.0625,2365,12393
